Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Ejerforhold_Antal_personer_01. Ejerbolig;Ejerforhold_Antal_personer_02. Andelsbolig;Ejerforhold_Antal_personer_03. Almennyttig bolig;Ejerforhold_Antal_personer_04. Lejer i offentligt ejet;Ejerforhold_Antal_personer_05. Privat lejerbolig;Ejerforhold_Antal_personer_06. Øvrige beboede boliger
;187002;18;2;1;3913;-;373;32;210;59
;187003;18;2;1;4497;40;681;77;337;369
;190001;25;3;1;6420;17;2541;56;219;557
;190002;25;3;1;3475;-;150;2;99;28
;190003;25;3;1;4131;155;396;26;77;226
;190004;25;3;1;1075;-;163;50;77;78
;190005;25;3;1;4094;179;920;-;118;284
;190006;25;3;1;6582;375;749;7;279;667
;190007;25;3;1;1159;-;5051;-;241;242
;201001;26;3;1;2862;17;155;33;113;138
;201002;26;3;1;2945;65;1661;-;102;480
;201003;26;3;1;4720;41;370;55;149;286
;201004;26;3;1;4235;79;579;89;219;138
;201005;26;3;1;5225;83;396;51;161;186
;210001;22;3;1;4059;306;1520;8;313;363
;210002;22;3;1;3615;31;112;34;267;435
;210003;22;3;1;3066;16;825;8;359;581
;210004;22;3;1;2735;121;1536;7;253;449
;210005;22;3;1;6407;-;3066;7;319;476
;210007;22;3;1;2517;265;1234;-;163;182
;210008;22;3;1;965;-;-;5;91;113
;210009;22;3;1;1779;354;1672;48;73;110
;217001;21;3;1;3887,84;501,06;1641,51;43,80;1399,44;1981,96
;217002;21;3;1;4105;406;5085;21;368;424
;217003;21;3;1;3368;-;4300;8;310;196
;217004;21;3;1;4157;398;508;34;303;211
;217005;21;3;1;3884;6;395;97;527;257
;217006;21;3;1;1212;10;-;24;83;29
;217007;21;3;1;1420;-;-;17;203;96
;217008;21;3;1;831;-;102;13;54;231
;217009;21;3;1;3124;93;1380;10;227;109
;217010;21;3;1;3723;58;720;2;172;282
;217011;21;3;1;4816;199;1207;8;398;170
;217012;21;3;1;1171,16;150,94;494,49;13,20;421,56;597,04
;219001;23;3;1;4638;233;975;208;755;2730
;219002;23;3;1;3966;111;1299;34;303;635
;219003;23;3;1;743;-;56;4;75;17
;219004;23;3;1;1359;71;-;4;72;43
;219005;23;3;1;2097;63;21;4;115;109
;219006;23;3;1;4046;288;1126;2;147;774
;219007;23;3;1;1528;-;294;116;72;67
;219008;23;3;1;1048;-;8;10;75;7
;219009;23;3;1;2956;168;455;-;247;575
;219010;23;3;1;3253;55;2689;215;290;776
;219011;23;3;1;1697;103;42;4;166;71
;219012;23;3;1;3298;-;95;59;345;358
;219013;23;3;1;1228;44;30;25;90;117
;219014;23;3;1;1034;166;-;4;110;48
;223001;22;3;1;3625;927;291;36;505;855
;223002;22;3;1;4706;114;1076;71;386;191
;223003;22;3;1;3852;-;88;6;283;411
;223004;22;3;1;330;-;-;-;44;43
;223005;22;3;1;4273;-;2177;33;167;374
;230001;26;3;1;4761;122;1131;142;204;736
;230003;26;3;1;5560;84;298;147;387;450
;230004;26;3;1;2601;202;1688;214;240;714
;230005;26;3;1;5877;116;518;139;247;795
;230006;26;3;1;2795;134;161;35;75;389
;230007;26;3;1;5253;127;2119;129;313;443
;230008;26;3;1;3706;196;1270;71;135;228
;230009;26;3;1;3037;-;-;13;174;710
;230010;26;3;1;5648;75;601;70;455;993
;240001;25;3;1;908;-;-;50;107;41
;240002;25;3;1;8128;529;764;64;448;582
;240003;25;3;1;5198,08;97,44;753,66;20,88;315,19;190,90
;240004;25;3;1;1314;134;392;6;89;33
;240005;25;3;1;3101;26;168;1;141;123
;240006;25;3;1;1419;22;-;11;61;18
;240007;25;3;1;6199,54;32,05;492,50;12,09;320,14;176,66
;240008;25;3;1;4973,30;88,93;823,30;23,91;134,83;124,31
;240009;25;3;1;3201,09;335,58;598,53;0,13;314,85;246,13
;250001;24;3;1;3464;247;1894;16;421;1544
;250002;24;3;1;3951;193;1701;13;211;151
;250003;24;3;1;5513;15;428;144;353;256
;250004;24;3;1;5870;518;489;119;728;517
;250005;24;3;1;6250;237;569;84;646;541
;250006;24;3;1;6209;263;762;62;537;307
;253001;35;5;2;1851,68;72,85;4820,13;57,73;108,90;263,06
;253002;35;5;2;13495,44;400,36;4720,71;152,25;491,40;611,10
;253003;35;5;2;6260,88;61,79;577,17;23,01;130,70;78,85
;253004;35;5;2;7292;146;523;100;681;385
;253005;35;5;2;5533;27;735;39;260;659
;259001;34;5;2;5692;167;1395;219;904;1562
;259002;34;5;2;2258,25;101,13;3454;40,66;215,86;199,20
;259003;34;5;2;4092,20;317,53;2369,62;140,95;320,51;466,55
;259004;34;5;2;3419;-;1109;42;122;79
;259005;34;5;2;2934;200;2551;77;117;153
;259006;34;5;2;5101;286;2034;93;356;482
;259007;34;5;2;3205,80;104,47;421,38;11,05;151,49;165,45
;259008;34;5;2;2194,75;122,87;-;27,34;108,14;109,80
;259009;34;5;2;2850;85;312;64;191;190
;259010;34;5;2;1097;-;-;7;159;43
;259011;34;5;2;3921;434;1120;103;563;147
;260001;24;3;1;7079;194;674;18;893;715
;260002;24;3;1;3363;26;104;37;310;100
;260003;24;3;1;3044,63;51,47;527,35;85,46;229,20;208,80
;260004;24;3;1;6162,37;394,53;2165,65;120,54;939,80;821,20
;260005;24;3;1;2230;155;336;38;244;117
;265001;36;5;2;2182;527;553;70;686;1505
;265002;36;5;2;3979;697;433;9;133;629
;265003;36;5;2;4047;696;2066;505;195;527
;265004;36;5;2;2377;795;887;14;373;583
;265005;36;5;2;3183;387;2198;53;532;1156
;265006;36;5;2;5703;286;1091;73;127;490
;265007;36;5;2;3492;421;355;35;54;34
;265008;36;5;2;2121;161;222;1;120;91
;265009;36;5;2;1058;-;-;6;47;135
;265010;36;5;2;2391;144;3725;98;367;773
;265011;36;5;2;2645;235;296;82;181;108
;265013;36;5;2;5984;-;206;66;381;141
;265014;36;5;2;2506;144;162;29;99;106
;265015;36;5;2;2567;308;476;2;78;34
;265016;36;5;2;2177;57;-;15;141;28
;265017;36;5;2;4671;153;803;13;220;287
;265018;36;5;2;999;-;-;11;79;31
;265021;36;5;2;3015;341;1423;129;152;735
;269001;35;5;2;3741;355;373;8;262;177
;269004;35;5;2;6263;108;851;23;263;715
;269005;35;5;2;7327;579;1416;139;422;233
;270001;23;3;1;3697;38;-;67;543;239
;270002;23;3;1;2446;36;4;98;345;184
;270003;23;3;1;496;-;-;4;47;41
;270004;23;3;1;3653;77;485;71;474;311
;270005;23;3;1;1977;52;4;-;160;144
;270006;23;3;1;4918;155;375;129;671;444
;270007;23;3;1;1290;-;-;-;184;62
;270008;23;3;1;5514;149;1143;78;732;659
;270009;23;3;1;827;-;4;8;121;67
;270010;23;3;1;2697;84;17;2;184;78
;270011;23;3;1;2367;-;56;21;285;150
;270012;23;3;1;1568;-;9;15;239;53
;306001;38;5;2;2688;210;452;1;398;289
;306002;38;5;2;2918;12;204;31;514;209
;306003;38;5;2;1880;9;108;3;428;78
;306004;38;5;2;2249;14;357;23;528;302
;306005;38;5;2;995;-;58;-;185;62
;306006;38;5;2;2154;66;141;26;518;288
;306007;38;5;2;3627;167;583;120;854;772
;306008;38;5;2;1187;32;24;19;222;77
;306010;38;5;2;1098;-;82;7;206;90
;306011;38;5;2;2575;64;183;13;574;217
;306012;38;5;2;543;-;12;6;91;19
;306013;38;5;2;848;-;-;9;168;70
;316001;37;5;2;6169;627;3065;49;462;483
;316002;37;5;2;3792;503;4849;82;253;603
;316003;37;5;2;1728;565;1269;202;943;1290
;316004;37;5;2;3467;100;65;5;262;131
;316005;37;5;2;3788;140;136;70;360;165
;316006;37;5;2;1845;4;56;-;238;93
;316007;37;5;2;3363;302;450;122;468;333
;316008;37;5;2;2641;43;169;-;397;244
;316009;37;5;2;3363;47;198;59;359;200
;316010;37;5;2;2486;103;132;38;440;131
;316011;37;5;2;2965;228;783;15;588;567
;316012;37;5;2;3025;56;168;-;526;565
;316013;37;5;2;2394;69;352;-;438;379
;316014;37;5;2;2633;57;136;-;450;249
;316015;37;5;2;742;-;30;-;131;48
;320001;33;5;2;5658;203;477;42;553;651
;320002;33;5;2;4661;262;1640;115;953;1049
;320003;33;5;2;2816;157;743;88;539;572
;320004;33;5;2;2806;75;213;-;465;419
;320005;33;5;2;2818;230;220;6;462;379
;320006;33;5;2;2992;32;130;24;388;92
;320007;33;5;2;2661;77;265;32;338;273
;326001;38;5;2;2393;164;117;31;508;277
;326002;38;5;2;243;14;14;7;47;17
;326003;38;5;2;3133;62;250;59;670;259
;326004;38;5;2;1830;142;413;48;407;194
;326005;38;5;2;1331;-;91;22;285;45
;326006;38;5;2;469;26;32;-;60;17
;326007;38;5;2;944;-;31;4;151;45
;326008;38;5;2;2287;54;185;4;474;177
;326009;38;5;2;2886;324;928;142;451;210
;326010;38;5;2;1345;42;16;6;260;120
;326011;38;5;2;1155;-;-;-;189;75
;326012;38;5;2;1808;32;772;51;664;673
;326013;38;5;2;1474;207;788;12;602;370
;326014;38;5;2;1336;6;34;4;199;99
;326015;38;5;2;2737;32;99;-;403;226
;326016;38;5;2;3603;43;224;-;395;148
;326017;38;5;2;632;-;24;12;99;24
;326018;38;5;2;1859;259;2002;10;119;173
;329001;39;5;2;5061;703;2430;254;849;2214
;329002;39;5;2;705;7;-;-;99;50
;329003;39;5;2;667;13;51;-;46;50
;329004;39;5;2;4668;40;41;5;474;622
;329005;39;5;2;1127;-;-;-;164;44
;329006;39;5;2;2428;46;2636;8;496;591
;329008;39;5;2;1063;177;23;33;165;65
;329009;39;5;2;1026;-;17;2;97;88
;329010;39;5;2;1241;-;-;12;87;34
;329011;39;5;2;495;24;67;6;102;22
;329012;39;5;2;906;10;-;7;148;41
;329013;39;5;2;1113;-;-;54;164;83
;329014;39;5;2;648;9;34;7;151;42
;330001;40;5;2;2516;110;61;-;384;238
;330003;40;5;2;1223;116;156;31;130;137
;330004;40;5;2;1396;51;98;-;263;21
;330005;40;5;2;3681;433;2086;142;527;748
;330006;40;5;2;3055;198;2144;1;951;883
;330007;40;5;2;2041;63;-;27;158;73
;330008;40;5;2;2883;78;38;45;359;124
;330009;40;5;2;3586;160;2472;64;495;362
;330010;40;5;2;1254;24;51;29;239;58
;330011;40;5;2;4965;325;1683;76;882;682
;330012;40;5;2;-;-;-;-;-;-
;330013;40;5;2;1100;21;24;35;163;56
;330017;40;5;2;-;-;-;-;-;-
;330019;40;5;2;4135;263;3996;2;1334;3343
;330021;40;5;2;4315;231;984;-;476;429
;330022;40;5;2;3503;509;3029;206;548;894
;330024;40;5;2;1130;-;-;-;107;94
;330025;40;5;2;2591;5;106;5;284;79
;336001;33;5;2;4415;113;254;118;510;400
;336002;33;5;2;5823;162;138;128;513;468
;336003;33;5;2;3693;118;526;83;863;647
;336004;33;5;2;2929;88;77;1;567;171
;340001;39;5;2;3832;222;568;117;594;476
;340002;39;5;2;1152;69;122;30;314;426
;340004;39;5;2;1475;12;105;-;137;115
;340005;39;5;2;2737;205;911;57;653;867
;340006;39;5;2;3842;82;671;15;301;218
;340008;39;5;2;2696;137;562;31;303;443
;340010;39;5;2;4059;122;261;24;657;261
;350001;34;5;2;3109;88;404;108;252;274
;350002;34;5;2;2195;48;100;33;174;64
;350003;34;5;2;1377;26;26;7;109;44
;350004;34;5;2;1288;16;7;19;116;13
;350005;34;5;2;1054;9;-;21;114;103
;350006;34;5;2;3400;146;686;162;289;277
;350008;34;5;2;2396;87;108;42;208;75
;350009;34;5;2;2396;2;76;79;165;136
;350011;34;5;2;2347;109;4;72;142;184
;350012;34;5;2;2610;29;51;96;265;159
;360001;29;5;2;557;9;10;-;104;48
;360003;29;5;2;1598;21;220;2;427;203
;360008;29;5;2;648;-;41;-;216;13
;360011;29;5;2;1629,29;24,82;235,38;1,48;319,11;107,83
;360013;29;5;2;3965;238;964;102;1021;559
;360014;29;5;2;-;-;-;-;-;-
;360019;29;5;2;2372;-;89;20;511;141
;360020;29;5;2;4419;169;1955;99;1184;903
;360021;29;5;2;3321,95;103,75;809,27;26,41;572,52;139,59
;360026;29;5;2;358,76;12,43;3,35;1,11;67,37;30,58
;360027;29;5;2;335;-;10;-;105;10
;360028;29;5;2;-;-;-;-;-;-
;360029;29;5;2;1741;-;97;-;392;83
;360035;29;5;2;1943;32;32;19;402;72
;360036;29;5;2;2473;13;149;22;669;219
;360037;29;5;2;721;80;439;138;176;140
;370001;32;5;2;2676;66;458;8;771;400
;370002;32;5;2;800;-;14;-;89;118
;370003;32;5;2;1478;29;81;-;337;148
;370004;32;5;2;2111;90;67;26;287;135
;370005;32;5;2;772;9;-;-;159;68
;370006;32;5;2;2036;19;184;16;279;160
;370007;32;5;2;1278;24;67;3;241;59
;370008;32;5;2;3648;265;566;20;186;456
;370009;32;5;2;1099;57;164;1;98;27
;370010;32;5;2;1281;20;61;54;159;64
;370011;32;5;2;2335;221;211;36;345;148
;370012;32;5;2;464;-;-;4;77;31
;370014;32;5;2;2845;122;276;53;401;303
;370020;32;5;2;3240;105;867;180;262;240
;370021;32;5;2;657;432;145;182;883;1563
;370022;32;5;2;4201;209;3116;285;1000;997
;370023;32;5;2;3785;165;1313;90;422;537
;370024;32;5;2;3540;297;647;-;1788;189
;370026;32;5;2;2821;-;196;16;221;313
;370027;32;5;2;4005;908;353;209;347;267
;370028;32;5;2;2730;-;1463;207;516;188
;370029;32;5;2;710;-;42;12;105;43
;370031;32;5;2;1458;83;85;3;270;74
;370032;32;5;2;1929;43;95;30;252;151
;376001;30;5;2;1408;248;855;2;1120;1209
;376002;30;5;2;2438;30;281;4;824;619
;376003;30;5;2;1947;56;2024;-;135;21
;376004;30;5;2;2109;38;1517;108;393;310
;376005;30;5;2;2393;102;10;34;259;46
;376006;30;5;2;1464;-;45;-;268;134
;376007;30;5;2;2649;67;549;-;143;171
;376008;30;5;2;2042;53;134;53;401;225
;376009;30;5;2;1217;-;11;21;268;76
;376010;30;5;2;2195;110;268;65;444;128
;376011;30;5;2;1677;8;49;13;406;149
;376012;30;5;2;2020;33;84;28;384;152
;376013;30;5;2;3351;58;778;249;753;459
;376014;30;5;2;1165;-;63;4;245;99
;376015;30;5;2;896;-;-;2;251;59
;376016;30;5;2;2264;106;252;103;614;347
;376017;30;5;2;2398;55;14;4;501;212
;376018;30;5;2;1553;40;35;44;240;41
;376019;30;5;2;2685;99;118;22;389;99
;376020;30;5;2;931;-;68;-;227;85
;390001;31;5;2;2340;86;1602;135;761;838
;390002;31;5;2;1853;328;1069;112;504;305
;390003;31;5;2;2157;118;282;27;221;100
;390004;31;5;2;1919;54;261;25;343;278
;390005;31;5;2;942;17;8;30;194;66
;390006;31;5;2;2914;13;27;14;656;241
;390007;31;5;2;1480;65;288;1;147;96
;390008;31;5;2;3470;145;513;59;691;520
;390009;31;5;2;1181;-;68;6;252;40
;390010;31;5;2;1759;13;52;6;390;104
;390011;31;5;2;908;23;47;-;168;44
;390012;31;5;2;2330;290;553;82;430;444
;390013;31;5;2;939;-;16;5;195;67
;390014;31;5;2;608;-;16;1;106;75
;390015;31;5;2;1340;11;180;39;267;123
;390016;31;5;2;1548;16;147;14;269;52
;390017;31;5;2;1502;65;156;12;183;103
;400001;28;4;1;2352;101;183;36;331;255
;400002;28;4;1;2364;30;137;6;342;53
;400003;28;4;1;1697;64;94;-;206;53
;400004;28;4;1;3020;70;442;66;523;373
;400005;28;4;1;1234;31;71;11;240;37
;400006;28;4;1;3927;73;332;155;580;268
;400007;27;4;1;2091;33;62;10;378;84
;400008;27;4;1;9202;508;2029;292;1377;967
;400009;27;4;1;2056;52;140;32;317;196
;410001;45;6;2;3817;59;1130;121;864;981
;410002;45;6;2;4685;213;851;143;414;572
;410003;45;6;2;3573;82;175;18;296;288
;410004;45;6;2;1949;31;245;-;202;760
;410005;45;6;2;1104;-;38;40;121;279
;410006;45;6;2;2562;67;614;26;369;266
;410007;45;6;2;1638;-;44;3;168;65
;410008;45;6;2;1858;105;391;9;433;237
;410009;45;6;2;1992;8;111;59;426;121
;410010;45;6;2;1897;36;102;52;318;187
;410011;45;6;2;1389;-;44;3;134;68
;411001;28;4;1;-;-;-;-;-;-
;420001;44;6;2;3648;146;994;142;816;1115
;420002;44;6;2;1547;11;33;-;273;78
;420003;44;6;2;702;-;-;-;104;39
;420004;44;6;2;797;-;-;-;103;37
;420005;44;6;2;2784;121;318;82;350;513
;420006;44;6;2;593;-;6;3;71;67
;420007;44;6;2;1119;-;8;1;177;43
;420008;44;6;2;2090;117;223;-;363;419
;420009;44;6;2;836;1;32;1;165;51
;420010;44;6;2;838;-;11;5;119;58
;420011;44;6;2;4497;138;533;37;461;332
;420012;44;6;2;641;-;-;-;111;40
;420013;44;6;2;2203;28;196;73;362;378
;420014;44;6;2;559;-;2;-;94;69
;420015;44;6;2;1504;9;52;1;124;50
;420016;44;6;2;1444;19;169;21;222;138
;420017;44;6;2;1910;34;126;-;239;298
;420018;44;6;2;1287;-;5;3;164;222
;430001;48;6;2;1350;11;49;-;165;76
;430002;48;6;2;1016;11;112;7;153;136
;430003;48;6;2;1425;52;127;-;212;193
;430004;48;6;2;792;-;34;-;119;92
;430005;48;6;2;-;-;-;-;-;-
;430007;48;6;2;4938;220;943;63;1084;846
;430008;48;6;2;1479;12;21;3;333;85
;430009;48;6;2;1394;-;72;21;358;156
;430010;48;6;2;-;-;-;-;-;-
;430011;48;6;2;1634;-;87;10;266;118
;430012;48;6;2;1277;-;67;-;255;102
;430013;48;6;2;1173;11;25;-;206;75
;430014;48;6;2;1063;-;26;1;261;123
;430015;48;6;2;5022;188;1234;33;640;977
;430016;48;6;2;929;-;18;11;110;66
;430017;48;6;2;1491;22;55;49;324;156
;430018;48;6;2;1580;34;143;36;410;234
;430019;48;6;2;1758;20;114;8;298;126
;430020;48;6;2;3005;40;160;12;369;307
;430021;48;6;2;1467;22;136;-;105;205
;430022;48;6;2;3597;97;314;1;269;424
;440001;46;6;2;1553;-;29;13;394;81
;440002;46;6;2;3756;182;1075;193;486;884
;440003;46;6;2;1834;10;-;43;272;171
;440004;46;6;2;1836;-;59;13;183;161
;440005;46;6;2;3203;70;486;88;312;427
;440006;46;6;2;3263;1117;744;57;328;489
;450001;46;6;2;1374;15;77;-;167;91
;450002;46;6;2;5251;58;2571;157;516;1017
;450003;46;6;2;3165;201;792;25;867;1459
;450004;46;6;2;1489;172;314;-;138;256
;450005;46;6;2;798;-;-;3;231;49
;450006;46;6;2;2125;80;205;52;241;283
;450007;46;6;2;408;-;9;-;74;10
;450008;46;6;2;501;-;2;-;61;21
;450009;46;6;2;772;-;19;-;95;34
;450010;46;6;2;1183;78;171;-;183;230
;450011;46;6;2;1114;-;38;-;190;35
;450012;46;6;2;1013;-;26;-;190;78
;450013;46;6;2;960;-;48;-;88;139
;461001;41;6;2;2689;175;1382;96;2177;5820
;461002;41;6;2;4820;321;2086;64;1063;2789
;461003;41;6;2;1541;-;1556;15;548;701
;461004;41;6;2;3358;352;1393;158;1937;2722
;461005;41;6;2;2426;166;4610;93;367;708
;461006;41;6;2;2567;53;-;-;126;178
;461007;41;6;2;3713;431;954;75;231;1074
;461009;41;6;2;1637;240;303;33;175;1545
;461011;42;6;2;3070;165;2035;5;1821;5071
;461012;42;6;2;3039;220;5392;339;514;1362
;461013;42;6;2;976;29;58;1;96;79
;461014;42;6;2;4428;343;373;29;550;937
;461016;42;6;2;2850;274;529;60;99;366
;461017;42;6;2;4818;206;782;-;389;318
;461018;42;6;2;4983;55;243;-;371;199
;461019;42;6;2;3195;412;716;114;266;396
