Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Opførelsesår_Antal_boliger_Før 1940
,153004,18,2,1,77
,153005,18,2,1,44.03
,153006,18,2,1,40.97
,155001,12,1,1,640
,155004,12,1,1,284
,157001,13,2,1,1367
,157002,13,2,1,1365
,157003,13,2,1,2003
,157004,13,2,1,952
,157005,13,2,1,2202
,157006,13,2,1,2787
,157007,13,2,1,2902
,157008,13,2,1,1927
,157009,13,2,1,2258
,157010,13,2,1,2082
,159001,15,2,1,309.32
,159002,15,2,1,798
,159003,15,2,1,440
,159004,15,2,1,648
,159005,15,2,1,357
,159006,15,2,1,284
,159007,15,2,1,1122
,159008,15,2,1,291
,159009,15,2,1,53.68
,161001,20,2,1,47
,161002,20,2,1,522
,161003,20,2,1,597
,161004,20,2,1,21
,161005,20,2,1,39
,161006,20,2,1,64
,163001,16,2,1,261
,163002,16,2,1,136
,163003,16,2,1,53
,165001,19,2,1,107
,165002,19,2,1,43
,165003,19,2,1,175
,165004,19,2,1,3
,165005,19,2,1,2
,167001,17,2,1,325
,167002,17,2,1,356
,167003,17,2,1,312
,167004,17,2,1,449
,167005,17,2,1,472
,167006,17,2,1,157
,167007,17,2,1,118
,167008,17,2,1,134
,169001,19,2,1,95
,169002,19,2,1,355
,169004,19,2,1,93
,169006,19,2,1,51
,169007,19,2,1,159
,169008,19,2,1,26
,169009,19,2,1,205
,169010,19,2,1,250.34
,169012,19,2,1,287
,169013,19,2,1,97
,169014,19,2,1,152.66
,173001,14,2,1,2219
,173002,14,2,1,425
,173003,14,2,1,172
,173004,14,2,1,1493
,173005,14,2,1,493
,173006,14,2,1,566
,173007,14,2,1,93
,173008,14,2,1,792
,173009,14,2,1,322
,175001,16,2,1,1061
,175002,16,2,1,250
,175003,16,2,1,643
,175004,16,2,1,80
,175005,16,2,1,204
,175006,16,2,1,151
,175007,16,2,1,0
,183001,18,2,1,208
,183002,18,2,1,1
,183003,18,2,1,17
,183004,18,2,1,0.98
,183005,18,2,1,42.02
,185001,12,1,1,56
,185002,12,1,1,153
,185003,12,1,1,194
,185004,12,1,1,573
,185005,12,1,1,478
,185006,12,1,1,668
,187001,18,2,1,61
,187002,18,2,1,54
,187003,18,2,1,1
,190001,25,3,1,105
,190002,25,3,1,233
,190003,25,3,1,161
,190004,25,3,1,46
,190005,25,3,1,32
,190006,25,3,1,316
,190007,25,3,1,72
,201001,26,3,1,126
,201002,26,3,1,170
,201003,26,3,1,188
,201004,26,3,1,349
,201005,26,3,1,92
,210001,22,3,1,428
,210002,22,3,1,640
,210003,22,3,1,456
,210004,22,3,1,145
,210005,22,3,1,81
,210007,22,3,1,42
,210008,22,3,1,206
,210009,22,3,1,79
,217001,21,3,1,2713.57
,217002,21,3,1,571
,217003,21,3,1,385
,217004,21,3,1,407
,217005,21,3,1,596
,217006,21,3,1,237
,217007,21,3,1,249
,217008,21,3,1,104
,217009,21,3,1,473
,217010,21,3,1,485
,217011,21,3,1,160
,217012,21,3,1,817.43
,219001,23,3,1,1595
,219002,23,3,1,507
,219003,23,3,1,105
,219004,23,3,1,88
,219005,23,3,1,156
,219006,23,3,1,69
,219007,23,3,1,101
,219008,23,3,1,100
,219009,23,3,1,124
,219010,23,3,1,311
,219011,23,3,1,189
,219012,23,3,1,473
,219013,23,3,1,101
,219014,23,3,1,104
,223001,22,3,1,389
,223002,22,3,1,274
,223003,22,3,1,645
,223004,22,3,1,91
,223005,22,3,1,131
,230001,26,3,1,106
,230003,26,3,1,1028
,230004,26,3,1,176
,230005,26,3,1,469
,230006,26,3,1,219
,230007,26,3,1,356
,230008,26,3,1,216
,230009,26,3,1,216
,230010,26,3,1,963
,240001,25,3,1,142
,240002,25,3,1,136
,240003,25,3,1,251.55
,240004,25,3,1,116
,240005,25,3,1,207
,240006,25,3,1,96
,240007,25,3,1,232.70
,240008,25,3,1,59.29
,240009,25,3,1,59.46
,250001,24,3,1,657
,250002,24,3,1,225
,250003,24,3,1,297
,250004,24,3,1,1053
,250005,24,3,1,610
,250006,24,3,1,485
,253001,35,5,2,102.03
,253002,35,5,2,365.19
,253003,35,5,2,80.78
,253004,35,5,2,256
,253005,35,5,2,265
,259001,34,5,2,1809
,259002,34,5,2,15.94
,259003,34,5,2,385.64
,259004,34,5,2,97
,259005,34,5,2,182
,259006,34,5,2,643
,259007,34,5,2,258.36
,259008,34,5,2,153.06
,259009,34,5,2,245
,259010,34,5,2,275
,259011,34,5,2,484
,260001,24,3,1,800
,260002,24,3,1,331
,260003,24,3,1,174.81
,260004,24,3,1,931.19
,260005,24,3,1,179
,265001,36,5,2,1833
,265002,36,5,2,296
,265003,36,5,2,890
,265004,36,5,2,521
,265005,36,5,2,523
,265006,36,5,2,287
,265007,36,5,2,62
,265008,36,5,2,143
,265009,36,5,2,130
,265010,36,5,2,299
,265011,36,5,2,338
,265013,36,5,2,168
,265014,36,5,2,189
,265015,36,5,2,23
,265016,36,5,2,183
,265017,36,5,2,563
,265018,36,5,2,146
,265021,36,5,2,145
,269001,35,5,2,317
,269004,35,5,2,432
,269005,35,5,2,258
,270001,23,3,1,287
,270002,23,3,1,410
,270003,23,3,1,142
,270004,23,3,1,589
,270005,23,3,1,140
,270006,23,3,1,619
,270007,23,3,1,208
,270008,23,3,1,552
,270009,23,3,1,221
,270010,23,3,1,193
,270011,23,3,1,289
,270012,23,3,1,268
,306001,38,5,2,484
,306002,38,5,2,436
,306003,38,5,2,543
,306004,38,5,2,592
,306005,38,5,2,202
,306006,38,5,2,641
,306007,38,5,2,845
,306008,38,5,2,221
,306010,38,5,2,307
,306011,38,5,2,505
,306012,38,5,2,172
,306013,38,5,2,246
,316001,37,5,2,521
,316002,37,5,2,545
,316003,37,5,2,1439
,316004,37,5,2,459
,316005,37,5,2,390
,316006,37,5,2,371
,316007,37,5,2,592
,316008,37,5,2,693
,316009,37,5,2,624
,316010,37,5,2,595
,316011,37,5,2,702
,316012,37,5,2,811
,316013,37,5,2,487
,316014,37,5,2,623
,316015,37,5,2,160
,320001,33,5,2,908
,320002,33,5,2,1263
,320003,33,5,2,725
,320004,33,5,2,796
,320005,33,5,2,806
,320006,33,5,2,550
,320007,33,5,2,550
,326001,38,5,2,622
,326002,38,5,2,111
,326003,38,5,2,770
,326004,38,5,2,524
,326005,38,5,2,437
,326006,38,5,2,110
,326007,38,5,2,221
,326008,38,5,2,653
,326009,38,5,2,528
,326010,38,5,2,507
,326011,38,5,2,455
,326012,38,5,2,965
,326013,38,5,2,799
,326014,38,5,2,381
,326015,38,5,2,413
,326016,38,5,2,406
,326017,38,5,2,149
,326018,38,5,2,60
,329001,39,5,2,1477
,329002,39,5,2,228
,329003,39,5,2,159
,329004,39,5,2,301
,329005,39,5,2,370
,329006,39,5,2,483
,329008,39,5,2,273
,329009,39,5,2,209
,329010,39,5,2,197
,329011,39,5,2,157
,329012,39,5,2,236
,329013,39,5,2,182
,329014,39,5,2,168
,330001,40,5,2,812
,330003,40,5,2,306
,330004,40,5,2,280
,330005,40,5,2,994
,330006,40,5,2,1055
,330007,40,5,2,167
,330008,40,5,2,442
,330009,40,5,2,338
,330010,40,5,2,395
,330011,40,5,2,1287
,330012,40,5,2,0
,330013,40,5,2,305
,330017,40,5,2,0
,330019,40,5,2,2687
,330021,40,5,2,683
,330022,40,5,2,1000
,330024,40,5,2,358
,330025,40,5,2,471
,336001,33,5,2,1006
,336002,33,5,2,702
,336003,33,5,2,1352
,336004,33,5,2,875
,340001,39,5,2,762
,340002,39,5,2,338
,340004,39,5,2,387
,340005,39,5,2,1118
,340006,39,5,2,738
,340008,39,5,2,573
,340010,39,5,2,1095
,350001,34,5,2,372
,350002,34,5,2,225
,350003,34,5,2,199
,350004,34,5,2,104
,350005,34,5,2,180
,350006,34,5,2,356
,350008,34,5,2,284
,350009,34,5,2,303
,350011,34,5,2,217
,350012,34,5,2,357
,360001,29,5,2,263
,360003,29,5,2,661
,360008,29,5,2,334
,360011,29,5,2,534.77
,360013,29,5,2,1466
,360014,29,5,2,0
,360019,29,5,2,939
,360020,29,5,2,2091
,360021,29,5,2,887.55
,360026,29,5,2,183.68
,360027,29,5,2,172
,360028,29,5,2,0
,360029,29,5,2,777
,360035,29,5,2,743
,360036,29,5,2,909
,360037,29,5,2,183
,370001,32,5,2,951
,370002,32,5,2,293
,370003,32,5,2,527
,370004,32,5,2,260
,370005,32,5,2,221
,370006,32,5,2,434
,370007,32,5,2,408
,370008,32,5,2,223
,370009,32,5,2,152
,370010,32,5,2,347
,370011,32,5,2,558
,370012,32,5,2,153
,370014,32,5,2,516
,370020,32,5,2,335
,370021,32,5,2,1062
,370022,32,5,2,917
,370023,32,5,2,615
,370024,32,5,2,247
,370026,32,5,2,359
,370027,32,5,2,320
,370028,32,5,2,2
,370029,32,5,2,133
,370031,32,5,2,514
,370032,32,5,2,326
,376001,30,5,2,1803
,376002,30,5,2,1159
,376003,30,5,2,74
,376004,30,5,2,601
,376005,30,5,2,506
,376006,30,5,2,588
,376007,30,5,2,240
,376008,30,5,2,862
,376009,30,5,2,534
,376010,30,5,2,605
,376011,30,5,2,665
,376012,30,5,2,696
,376013,30,5,2,1142
,376014,30,5,2,472
,376015,30,5,2,434
,376016,30,5,2,1119
,376017,30,5,2,952
,376018,30,5,2,360
,376019,30,5,2,397
,376020,30,5,2,433
,390001,31,5,2,923
,390002,31,5,2,746
,390003,31,5,2,308
,390004,31,5,2,258
,390005,31,5,2,296
,390006,31,5,2,921
,390007,31,5,2,207
,390008,31,5,2,1459
,390009,31,5,2,537
,390010,31,5,2,816
,390011,31,5,2,263
,390012,31,5,2,675
,390013,31,5,2,348
,390014,31,5,2,212
,390015,31,5,2,421
,390016,31,5,2,452
,390017,31,5,2,234
,400001,28,4,1,945
,400002,28,4,1,975
,400003,28,4,1,704
,400004,28,4,1,1032
,400005,28,4,1,410
,400006,28,4,1,1427
,400007,27,4,1,661
,400008,27,4,1,2923
,400009,27,4,1,703
,410001,45,6,2,1577
,410002,45,6,2,337
,410003,45,6,2,410
,410004,45,6,2,305
,410005,45,6,2,310
,410006,45,6,2,601
,410007,45,6,2,438
,410008,45,6,2,587
,410009,45,6,2,629
,410010,45,6,2,615
,410011,45,6,2,407
,411001,28,4,1,0
,420001,44,6,2,1482
,420002,44,6,2,459
,420003,44,6,2,234
,420004,44,6,2,282
,420005,44,6,2,597
,420006,44,6,2,152
,420007,44,6,2,393
,420008,44,6,2,482
,420009,44,6,2,298
,420010,44,6,2,270
,420011,44,6,2,789
,420012,44,6,2,241
,420013,44,6,2,445
,420014,44,6,2,209
,420015,44,6,2,192
,420016,44,6,2,278
,420017,44,6,2,273
,420018,44,6,2,350
,430001,48,6,2,266
,430002,48,6,2,255
,430003,48,6,2,345
,430004,48,6,2,288
,430005,48,6,2,0
,430007,48,6,2,1707
,430008,48,6,2,507
,430009,48,6,2,495
,430010,48,6,2,0
,430011,48,6,2,485
,430012,48,6,2,372
,430013,48,6,2,329
,430014,48,6,2,386
,430015,48,6,2,1024
,430016,48,6,2,303
,430017,48,6,2,403
,430018,48,6,2,415
,430019,48,6,2,299
,430020,48,6,2,425
,430021,48,6,2,211
,430022,48,6,2,402
,440001,46,6,2,566
,440002,46,6,2,1012
,440003,46,6,2,543
,440004,46,6,2,303
,440005,46,6,2,324
,440006,46,6,2,253
,450001,46,6,2,428
,450002,46,6,2,752
,450003,46,6,2,1656
,450004,46,6,2,283
,450005,46,6,2,343
,450006,46,6,2,256
,450007,46,6,2,108
,450008,46,6,2,130
,450009,46,6,2,246
,450010,46,6,2,216
,450011,46,6,2,350
,450012,46,6,2,321
,450013,46,6,2,263
,461001,41,6,2,4389
,461002,41,6,2,2791
,461003,41,6,2,629
,461004,41,6,2,3013
,461005,41,6,2,307
,461006,41,6,2,146
,461007,41,6,2,225
,461009,41,6,2,248
,461011,42,6,2,4377
,461012,42,6,2,609
,461013,42,6,2,185
,461014,42,6,2,322
,461016,42,6,2,217
,461017,42,6,2,361
,461018,42,6,2,322
,461019,42,6,2,198
,461020,42,6,2,157
,461021,42,6,2,383
,461023,43,6,2,5084
,461024,43,6,2,1444
,461025,43,6,2,95
,461026,43,6,2,345
,461028,43,6,2,238
,461029,43,6,2,759
,461030,43,6,2,399
,461031,43,6,2,140
,461032,43,6,2,213
,461033,43,6,2,316
,461035,41,6,2,55
,461036,41,6,2,25
,479001,47,6,2,3247
,479002,47,6,2,467
,479003,47,6,2,723
,479004,47,6,2,285.94
,479005,47,6,2,411
,479006,47,6,2,0
,479007,47,6,2,201
,479008,47,6,2,218.06
,479009,47,6,2,406
,479010,47,6,2,360
,479011,47,6,2,237
,479014,47,6,2,295
,479016,47,6,2,320
,479017,47,6,2,543
,479019,47,6,2,590
,479021,47,6,2,339
,479023,47,6,2,358
,479025,47,6,2,385
,479027,47,6,2,411
,480001,45,6,2,1177
,480002,45,6,2,327
,480003,45,6,2,848
,480004,45,6,2,705
,480005,45,6,2,310
,480006,45,6,2,281
,480007,45,6,2,369
,480008,45,6,2,342
,480009,45,6,2,388
,480010,45,6,2,482
,482001,47,6,2,293.68
,482002,47,6,2,755.58
,482005,47,6,2,1502.74
,482007,47,6,2,552.87
,482011,47,6,2,547.13
,492001,48,6,2,944
,492002,48,6,2,701
,492003,48,6,2,416
,510001,61,7,2,2459.53
,510002,61,7,2,850
,510003,61,7,2,827.74
,510004,61,7,2,243.16
,510005,61,7,2,206.20
,510006,61,7,2,287.35
,510007,61,7,2,0
,510008,61,7,2,355.38
,510009,61,7,2,135
,510010,61,7,2,280.62
,510011,61,7,2,263.58
,510012,61,7,2,120.13
,510013,61,7,2,202.73
,510014,61,7,2,349.29
,510015,61,7,2,193
,510016,61,7,2,111
,510017,61,7,2,302.24
,510018,61,7,2,521.06
,510019,61,7,2,239
,510020,61,7,2,432.83
,510021,61,7,2,148.55
,510022,61,7,2,95.62
,530001,55,7,2,94
,530002,55,7,2,311
,530003,55,7,2,292
,530004,55,7,2,135
,530005,55,7,2,143
,530006,55,7,2,575
,530007,55,7,2,307
,540001,49,7,2,620
,540002,49,7,2,278
,540003,49,7,2,495
,540004,49,7,2,483
,540005,49,7,2,385
,540006,49,7,2,279
,540007,49,7,2,583
,540008,49,7,2,178
,540009,49,7,2,441
,540010,49,7,2,110
,540011,49,7,2,2382
,540012,49,7,2,428
,540013,49,7,2,390
,540014,49,7,2,349
,540015,49,7,2,659
,540016,49,7,2,1045
,540017,49,7,2,192
,550001,51,7,2,303
,550002,51,7,2,185
,550003,51,7,2,113
,550004,51,7,2,347
,550007,51,7,2,158
,550008,51,7,2,207
,550012,51,7,2,414
,550014,51,7,2,209
,550015,51,7,2,133
,550016,51,7,2,169
,550017,51,7,2,318
,550018,51,7,2,135
,550019,51,7,2,142
,550021,51,7,2,181
,550023,51,7,2,451
,550024,51,7,2,236
,550025,51,7,2,1290
,550027,51,7,2,147
,550029,51,7,2,186
,550051,51,7,2,78
,550061,51,7,2,483
,550071,51,7,2,127
,561002,52,7,2,5230
,561003,52,7,2,455
,561004,52,7,2,690
,561005,52,7,2,273
,561006,52,7,2,378
,561007,52,7,2,219
,561008,53,7,2,188
,561011,52,7,2,27
,561012,53,7,2,266
,561015,52,7,2,149
,561016,53,7,2,228
,561017,53,7,2,90
,561020,53,7,2,294
,561021,52,7,2,1
,561022,52,7,2,11
,561023,52,7,2,4
,561024,53,7,2,5
,561025,53,7,2,1142
,561028,53,7,2,1835
,561032,53,7,2,292
,561033,53,7,2,482
,561035,53,7,2,0
,561038,53,7,2,364
,561040,53,7,2,612
,563001,52,7,2,584
,563002,52,7,2,92
,573001,54,7,2,1411
,573004,54,7,2,155
,573005,54,7,2,134
,573006,54,7,2,134
,573007,54,7,2,133
,573008,54,7,2,246
,573009,54,7,2,188
,573010,54,7,2,271
,573013,54,7,2,326
,573014,54,7,2,189
,573015,54,7,2,239
,573018,54,7,2,333
,573019,54,7,2,86
,573022,54,7,2,170
,573023,54,7,2,147
,573024,54,7,2,125
,573026,54,7,2,197
,573027,54,7,2,144
,573028,54,7,2,259
,573030,54,7,2,892
,573031,54,7,2,320
,573032,54,7,2,289
,573033,54,7,2,174
,575001,55,7,2,626
,575002,55,7,2,157
,575003,55,7,2,595
,575004,55,7,2,282
,575005,55,7,2,219
,575006,55,7,2,97
,575007,55,7,2,448
,575008,55,7,2,189
,575009,55,7,2,325
,575010,55,7,2,161
,575011,55,7,2,289
,575012,55,7,2,136
,575013,55,7,2,158
,575014,55,7,2,776
,575015,55,7,2,134
,575016,55,7,2,289
,575017,55,7,2,283
,575018,55,7,2,280
,575019,55,7,2,388
,580001,50,7,2,182
,580002,50,7,2,181
,580003,50,7,2,439
,580004,50,7,2,562
,580005,50,7,2,235
,580006,50,7,2,197
,580007,50,7,2,414
,580008,50,7,2,248
,580009,50,7,2,426
,580010,50,7,2,276
,580011,50,7,2,457
,580012,50,7,2,410
,580013,50,7,2,313
,580014,50,7,2,480
,580015,50,7,2,493
,580016,50,7,2,1911
,580017,50,7,2,142
,580018,50,7,2,23
,607001,58,7,2,1777
,607002,58,7,2,193
,607003,58,7,2,243
,607004,58,7,2,189
,607005,58,7,2,323
,607006,58,7,2,276
,607007,58,7,2,130
,607008,58,7,2,2581
,615001,71,8,3,923
,615002,71,8,3,1750
,615003,71,8,3,4122
,615004,71,8,3,0
,615005,71,8,3,1074
,615006,71,8,3,252
,615007,71,8,3,131
,615008,71,8,3,147
,615009,71,8,3,270
,615010,71,8,3,285
,615011,71,8,3,306
,615012,71,8,3,131
,615013,71,8,3,621
,615014,71,8,3,380
,615015,71,8,3,249
,615016,71,8,3,475
,615017,71,8,3,300
,615018,71,8,3,446
,615019,71,8,3,332
,615020,71,8,3,174
,615021,71,8,3,18
,615022,71,8,3,97
,621001,59,7,2,1953
,621002,59,7,2,395
,621003,59,7,2,211
,621004,59,7,2,444
,621005,59,7,2,147
,621006,59,7,2,453
,621007,59,7,2,888
,621008,60,7,2,510
,621009,60,7,2,2275
,621010,60,7,2,419
,621011,60,7,2,148
,621012,60,7,2,771
,621013,60,7,2,154
,621014,60,7,2,1114
,621015,60,7,2,1305
,630001,57,7,2,312
,630002,57,7,2,443
,630003,57,7,2,189
,630004,57,7,2,402
,630005,57,7,2,257
,630006,57,7,2,598
,630007,57,7,2,128
,630008,57,7,2,319
,630009,57,7,2,4503
,630010,57,7,2,172
,630011,57,7,2,134
,630012,57,7,2,559
,630013,57,7,2,33
,630014,57,7,2,189
,630015,57,7,2,887
,630016,56,7,2,113
,630017,56,7,2,605
,630018,56,7,2,426
,630019,56,7,2,236
,630020,56,7,2,211
,630021,56,7,2,234
,630022,56,7,2,128
,630023,56,7,2,307
,630024,56,7,2,371
,630025,56,7,2,451
,630026,56,7,2,177
,630027,56,7,2,307
,630028,56,7,2,341
,630029,56,7,2,236
,630030,56,7,2,115
,630031,56,7,2,157
,630032,56,7,2,154
,630033,56,7,2,678
,630034,56,7,2,222
,657001,80,9,3,2236
,657002,80,9,3,138
,657005,80,9,3,353
,657006,80,9,3,136
,657007,80,9,3,180
,657008,80,9,3,290
,657009,80,9,3,180
,657011,80,9,3,122
,657013,81,9,3,407
,657014,81,9,3,93
,657015,81,9,3,10
,657016,81,9,3,146
,657017,81,9,3,381
,657018,81,9,3,72
,657019,81,9,3,93
,657020,81,9,3,72
,657021,81,9,3,171
,657022,81,9,3,95
,657023,81,9,3,215
,657024,81,9,3,221
,657025,81,9,3,170
,657026,81,9,3,77
,657027,81,9,3,317
,657028,81,9,3,63
,657029,81,9,3,172
,657030,81,9,3,132
,661001,82,9,3,2243
,661002,82,9,3,160
,661003,82,9,3,341
,661004,82,9,3,146
,661005,82,9,3,89
,661006,82,9,3,936
,661007,82,9,3,345
,661008,82,9,3,500
,661009,82,9,3,334
,661010,82,9,3,156
,665001,73,9,3,916
,665002,73,9,3,482
,665003,73,9,3,354
,665004,73,9,3,428
,665005,73,9,3,299
,665006,73,9,3,276
,665007,73,9,3,106
,665008,73,9,3,161
,671001,73,9,3,1152
,671002,73,9,3,120
,671003,73,9,3,277
,671004,73,9,3,301
,671005,73,9,3,41
,671006,73,9,3,336
,671007,73,9,3,693
,706001,66,8,3,757
,706002,66,8,3,835
,706003,66,8,3,524
,706004,66,8,3,662
,706005,66,8,3,668
,706006,66,8,3,728
,706007,66,8,3,689
,706008,66,8,3,803
,707001,66,8,3,1685
,707002,66,8,3,0
,707003,66,8,3,682
,707004,66,8,3,391
,707005,66,8,3,723
,707006,66,8,3,471
,707007,66,8,3,651
,707008,66,8,3,435
,707009,66,8,3,566
,707010,66,8,3,334
,710001,69,8,3,472
,710002,69,8,3,427
,710003,69,8,3,260
,710004,69,8,3,643
,710005,69,8,3,463
,710006,69,8,3,394
,710007,69,8,3,130
,710008,69,8,3,219
,710009,69,8,3,748
,710010,69,8,3,704
,710011,69,8,3,446
,710012,69,8,3,69
,710013,69,8,3,250
,710014,69,8,3,208
,727001,70,8,3,1347
,727002,70,8,3,132
,727003,70,8,3,158
,727004,70,8,3,299
,727005,70,8,3,260
,727006,70,8,3,297
,727007,70,8,3,297
,727008,70,8,3,308
,727009,70,8,3,0
,727010,70,8,3,0
,730001,68,8,3,505
,730002,68,8,3,213
,730004,68,8,3,207
,730005,67,8,3,406
,730006,67,8,3,316
,730007,67,8,3,281
,730008,67,8,3,387
,730009,67,8,3,272
,730010,67,8,3,357
,730011,67,8,3,418.83
,730012,67,8,3,230
,730013,67,8,3,269
,730014,67,8,3,159
,730015,67,8,3,179
,730016,68,8,3,210
,730017,68,8,3,205
,730021,68,8,3,389
,730024,68,8,3,1844.17
,730025,68,8,3,1486
,730026,67,8,3,69
,730027,67,8,3,335
,730028,68,8,3,2136
,730029,67,8,3,593
,730030,67,8,3,222
,730031,68,8,3,753
,730032,68,8,3,463
,730033,68,8,3,233
,730034,68,8,3,102
,730036,68,8,3,310
,730037,68,8,3,242
,740001,77,9,3,453
,740002,77,9,3,172
,740003,77,9,3,344
,740004,77,9,3,289
,740005,77,9,3,216
,740006,77,9,3,77
,740007,77,9,3,750
,740008,77,9,3,168
,740009,77,9,3,298
,740010,77,9,3,299
,740011,77,9,3,76
,740012,77,9,3,163
,740013,77,9,3,120
,740014,77,9,3,276
,740015,77,9,3,235
,740016,77,9,3,532
,740017,77,9,3,277
,740018,77,9,3,141
,740021,78,9,3,67
,740022,78,9,3,276
,740023,78,9,3,88
,740024,78,9,3,102
,740025,78,9,3,86
,740026,78,9,3,48
,740027,78,9,3,124
,740028,78,9,3,351
,740029,78,9,3,209
,740030,78,9,3,357
,740031,78,9,3,2736
,740032,78,9,3,93
,741001,70,8,3,1059
,741002,70,8,3,147
,746001,70,8,3,467
,746002,70,8,3,358
,746003,70,8,3,231
,746004,70,8,3,355
,746005,70,8,3,488
,746006,70,8,3,1253
,746007,70,8,3,136
,746008,70,8,3,610
,746009,70,8,3,348
,746010,70,8,3,299
,746011,70,8,3,288
,746012,70,8,3,294
,751001,62,8,3,7897
,751002,62,8,3,2048
,751003,62,8,3,122
,751004,62,8,3,393
,751006,62,8,3,213
,751007,62,8,3,593
,751008,63,8,3,689
,751009,62,8,3,164
,751010,65,8,3,2428.11
,751011,62,8,3,347
,751012,62,8,3,218
,751013,62,8,3,466
,751014,62,8,3,771.32
,751016,63,8,3,144
,751018,63,8,3,190
,751019,63,8,3,66
,751020,65,8,3,2028.85
,751021,65,8,3,4622.73
,751022,64,8,3,619
,751023,64,8,3,196
,751024,64,8,3,515
,751025,63,8,3,163
,751026,63,8,3,85
,751027,63,8,3,1232
,751028,63,8,3,266
,751030,63,8,3,307
,751031,63,8,3,148
,751033,63,8,3,231
,751041,65,8,3,3578
,751042,64,8,3,3956
,751043,64,8,3,236
,751044,64,8,3,188
,751045,64,8,3,901
,751047,65,8,3,177
,751048,65,8,3,159
,751049,65,8,3,104
,751050,65,8,3,139
,751051,65,8,3,260
,751053,64,8,3,212
,751055,64,8,3,118
,751056,64,8,3,278
,751061,65,8,3,158
,751062,63,8,3,6
,751063,63,8,3,235
,751064,63,8,3,962
,751065,65,8,3,63
,751066,62,8,3,160
,751067,64,8,3,859
,751068,64,8,3,0
,756001,79,9,3,322
,756002,79,9,3,190
,756003,79,9,3,246
,756004,79,9,3,221
,756005,79,9,3,764
,756006,79,9,3,170
,756007,79,9,3,700
,756008,79,9,3,108
,756009,79,9,3,395
,756010,79,9,3,329
,760001,83,9,3,633.33
,760002,83,9,3,176
,760004,83,9,3,155.53
,760007,83,9,3,476.14
,760010,83,9,3,138
,760012,83,9,3,76
,760014,83,9,3,940
,760016,83,9,3,300
,760021,83,9,3,223
,760022,83,9,3,412
,760024,83,9,3,760
,760025,83,9,3,240
,760027,83,9,3,501
,760028,83,9,3,235
,760030,83,9,3,277
,760032,83,9,3,232
,760033,83,9,3,336
,760035,83,9,3,537
,766001,72,8,3,474
,766002,72,8,3,303
,766003,72,8,3,343
,766004,72,8,3,199
,766005,72,8,3,109
,766006,72,8,3,146
,766007,72,8,3,557
,766010,72,8,3,358
,766011,72,8,3,300
,766012,72,8,3,251
,766013,72,8,3,393
,766014,72,8,3,363
,766015,72,8,3,374
,766017,72,8,3,559
,766020,72,8,3,229
,766021,72,8,3,412
,766022,72,8,3,233
,766023,72,8,3,299
,766024,72,8,3,133
,773001,87,10,3,373
,773002,87,10,3,885.52
,773003,87,10,3,592.83
,773004,87,10,3,491
,773005,87,10,3,1683.65
,779020,74,9,3,192
,779021,74,9,3,2807
,779022,74,9,3,732
,779023,74,9,3,511
,779024,74,9,3,786
,779025,74,9,3,401
,779026,74,9,3,648
,779027,74,9,3,693
,787001,87,10,3,2231.28
,787002,87,10,3,689.69
,787003,87,10,3,736.88
,787004,87,10,3,196.54
,787005,87,10,3,676.99
,787006,87,10,3,283
,787007,87,10,3,452.82
