Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Kriminalitet C. Retsafgørelser_2. Ikke skyldig
;270001;23;3;1;4
;270002;23;3;1;4
;270003;23;3;1;2
;270004;23;3;1;21
;270005;23;3;1;5
;270006;23;3;1;8
;270007;23;3;1;2
;270008;23;3;1;27
;270009;23;3;1;2
;270010;23;3;1;1
;270011;23;3;1;10
;270012;23;3;1;3
;306001;38;5;2;7
;306002;38;5;2;13
;306003;38;5;2;8
;306004;38;5;2;16
;306005;38;5;2;4
;306006;38;5;2;8
;306007;38;5;2;16
;306008;38;5;2;1
;306010;38;5;2;4
;306011;38;5;2;14
;306012;38;5;2;3
;306013;38;5;2;4
;316001;37;5;2;25
;316002;37;5;2;33
;316003;37;5;2;9
;316004;37;5;2;9
;316005;37;5;2;7
;316006;37;5;2;3
;316007;37;5;2;17
;316008;37;5;2;11
;316009;37;5;2;8
;316010;37;5;2;11
;316011;37;5;2;17
;316012;37;5;2;16
;316013;37;5;2;6
;316014;37;5;2;11
;316015;37;5;2;5
;320001;33;5;2;21
;320002;33;5;2;33
;320003;33;5;2;17
;320004;33;5;2;7
;320005;33;5;2;8
;320006;33;5;2;10
;320007;33;5;2;9
;326001;38;5;2;14
;326002;38;5;2;-
;326003;38;5;2;21
;326004;38;5;2;10
;326005;38;5;2;4
;326006;38;5;2;2
;326007;38;5;2;6
;326008;38;5;2;15
;326009;38;5;2;9
;326010;38;5;2;3
;326011;38;5;2;5
;326012;38;5;2;24
;326013;38;5;2;21
;326014;38;5;2;4
;326015;38;5;2;6
;326016;38;5;2;7
;326017;38;5;2;2
;326018;38;5;2;24
;329001;39;5;2;60
;329002;39;5;2;1
;329003;39;5;2;2
;329004;39;5;2;12
;329005;39;5;2;3
;329006;39;5;2;27
;329008;39;5;2;2
;329009;39;5;2;3
;329010;39;5;2;2
;329011;39;5;2;1
;329012;39;5;2;2
;329013;39;5;2;4
;329014;39;5;2;4
;330001;40;5;2;8
;330003;40;5;2;8
;330004;40;5;2;2
;330005;40;5;2;36
;330006;40;5;2;45
;330007;40;5;2;9
;330008;40;5;2;1
;330009;40;5;2;51
;330010;40;5;2;3
;330011;40;5;2;25
;330012;40;5;2;-
;330013;40;5;2;2
;330017;40;5;2;-
;330019;40;5;2;69
;330021;40;5;2;13
;330022;40;5;2;40
;330024;40;5;2;3
;330025;40;5;2;8
;336001;33;5;2;13
;336002;33;5;2;20
;336003;33;5;2;13
;336004;33;5;2;7
;340001;39;5;2;12
;340002;39;5;2;6
;340004;39;5;2;10
;340005;39;5;2;11
;340006;39;5;2;5
;340008;39;5;2;5
;340010;39;5;2;15
;350001;34;5;2;15
;350002;34;5;2;7
;350003;34;5;2;8
;350004;34;5;2;2
;350005;34;5;2;6
;350006;34;5;2;6
;350008;34;5;2;3
;350009;34;5;2;8
;350011;34;5;2;1
;350012;34;5;2;1
;360001;29;5;2;5
;360003;29;5;2;27
;360008;29;5;2;8
;360011;29;5;2;7,32
;360013;29;5;2;32
;360014;29;5;2;-
;360019;29;5;2;18
;360020;29;5;2;39
;360021;29;5;2;23,58
;360026;29;5;2;0,10
;360027;29;5;2;-
;360028;29;5;2;-
;360029;29;5;2;9
;360035;29;5;2;5
;360036;29;5;2;20
;360037;29;5;2;19
;370001;32;5;2;23
;370002;32;5;2;6
;370003;32;5;2;9
;370004;32;5;2;7
;370005;32;5;2;3
;370006;32;5;2;7
;370007;32;5;2;13
;370008;32;5;2;8
;370009;32;5;2;3
;370010;32;5;2;3
;370011;32;5;2;9
;370012;32;5;2;2
;370014;32;5;2;12
;370020;32;5;2;12
;370021;32;5;2;20
;370022;32;5;2;45
;370023;32;5;2;17
;370024;32;5;2;11
;370026;32;5;2;3
;370027;32;5;2;17
;370028;32;5;2;15
;370029;32;5;2;1
;370031;32;5;2;8
;370032;32;5;2;3
;376001;30;5;2;32
;376002;30;5;2;12
;376003;30;5;2;15
;376004;30;5;2;13
;376005;30;5;2;2
;376006;30;5;2;8
;376007;30;5;2;5
;376008;30;5;2;11
;376009;30;5;2;14
;376010;30;5;2;6
;376011;30;5;2;8
;376012;30;5;2;7
;376013;30;5;2;20
;376014;30;5;2;5
;376015;30;5;2;8
;376016;30;5;2;12
;376017;30;5;2;7
;376018;30;5;2;4
;376019;30;5;2;15
;376020;30;5;2;7
;390001;31;5;2;34
;390002;31;5;2;10
;390003;31;5;2;6
;390004;31;5;2;9
;390005;31;5;2;1
;390006;31;5;2;14
;390007;31;5;2;-
;390008;31;5;2;19
;390009;31;5;2;8
;390010;31;5;2;11
;390011;31;5;2;-
;390012;31;5;2;5
;390013;31;5;2;-
;390014;31;5;2;1
;390015;31;5;2;8
;390016;31;5;2;10
;390017;31;5;2;6
;400001;28;4;1;10
;400002;28;4;1;5
;400003;28;4;1;5
;400004;28;4;1;15
;400005;28;4;1;13
;400006;28;4;1;20
;400007;27;4;1;13
;400008;27;4;1;64
;400009;27;4;1;6
;410001;45;6;2;26
;410002;45;6;2;21
;410003;45;6;2;5
;410004;45;6;2;10
;410005;45;6;2;4
;410006;45;6;2;13
;410007;45;6;2;6
;410008;45;6;2;4
;410009;45;6;2;10
;410010;45;6;2;10
;410011;45;6;2;9
;411001;28;4;1;-
;420001;44;6;2;33
;420002;44;6;2;5
;420003;44;6;2;6
;420004;44;6;2;11
;420005;44;6;2;4
;420006;44;6;2;3
;420007;44;6;2;6
;420008;44;6;2;12
;420009;44;6;2;1
;420010;44;6;2;-
;420011;44;6;2;18
;420012;44;6;2;2
;420013;44;6;2;7
;420014;44;6;2;2
;420015;44;6;2;4
;420016;44;6;2;4
;420017;44;6;2;6
;420018;44;6;2;2
;430001;48;6;2;1
;430002;48;6;2;3
;430003;48;6;2;5
;430004;48;6;2;2
;430005;48;6;2;-
;430007;48;6;2;29
;430008;48;6;2;1
;430009;48;6;2;9
;430010;48;6;2;-
;430011;48;6;2;4
;430012;48;6;2;1
;430013;48;6;2;2
;430014;48;6;2;10
;430015;48;6;2;27
;430016;48;6;2;3
;430017;48;6;2;10
;430018;48;6;2;10
;430019;48;6;2;3
;430020;48;6;2;6
;430021;48;6;2;7
;430022;48;6;2;10
;440001;46;6;2;4
;440002;46;6;2;17
;440003;46;6;2;6
;440004;46;6;2;8
;440005;46;6;2;4
;440006;46;6;2;31
;450001;46;6;2;5
;450002;46;6;2;28
;450003;46;6;2;12
;450004;46;6;2;4
;450005;46;6;2;4
;450006;46;6;2;9
;450007;46;6;2;-
;450008;46;6;2;-
;450009;46;6;2;2
;450010;46;6;2;4
;450011;46;6;2;2
;450012;46;6;2;4
;450013;46;6;2;4
;461001;41;6;2;132
;461002;41;6;2;47
;461003;41;6;2;19
;461004;41;6;2;30
;461005;41;6;2;45
;461006;41;6;2;11
;461007;41;6;2;31
;461009;41;6;2;9
;461011;42;6;2;42
;461012;42;6;2;53
;461013;42;6;2;5
;461014;42;6;2;17
;461016;42;6;2;8
;461017;42;6;2;22
;461018;42;6;2;6
;461019;42;6;2;12
;461020;42;6;2;16
;461021;42;6;2;8
;461023;43;6;2;41
;461024;43;6;2;7
;461025;43;6;2;31
;461026;43;6;2;25
;461028;43;6;2;10
;461029;43;6;2;11
;461030;43;6;2;28
;461031;43;6;2;5
;461032;43;6;2;1
;461033;43;6;2;25
;461035;41;6;2;120
;461036;41;6;2;18
;479001;47;6;2;76
;479002;47;6;2;22
;479003;47;6;2;29
;479004;47;6;2;2,84
;479005;47;6;2;7
;479006;47;6;2;-
;479007;47;6;2;2
;479008;47;6;2;2,16
;479009;47;6;2;5
;479010;47;6;2;5
;479011;47;6;2;5
;479014;47;6;2;4
;479016;47;6;2;3
;479017;47;6;2;4
;479019;47;6;2;6
;479021;47;6;2;6
;479023;47;6;2;3
;479025;47;6;2;4
;479027;47;6;2;3
;480001;45;6;2;32
;480002;45;6;2;4
;480003;45;6;2;11
;480004;45;6;2;23
;480005;45;6;2;1
;480006;45;6;2;4
;480007;45;6;2;6
;480008;45;6;2;4
;480009;45;6;2;6
;480010;45;6;2;21
;482001;47;6;2;2,06
;482002;47;6;2;7,67
;482005;47;6;2;16,26
;482007;47;6;2;10,72
;482011;47;6;2;6,28
;492001;48;6;2;3
;492002;48;6;2;3
;492003;48;6;2;2
;510001;61;7;2;76,80
;510002;61;7;2;36
;510003;61;7;2;13,16
;510004;61;7;2;2,84
;510005;61;7;2;4,98
;510006;61;7;2;6,66
;510007;61;7;2;-
;510008;61;7;2;1,42
;510009;61;7;2;4
;510010;61;7;2;8,58
;510011;61;7;2;7,56
;510012;61;7;2;1,66
;510013;61;7;2;5,04
;510014;61;7;2;10,77
;510015;61;7;2;1
;510016;61;7;2;3
;510017;61;7;2;16,91
;510018;61;7;2;5,61
;510019;61;7;2;4
;510020;61;7;2;10,96
;510021;61;7;2;2,72
;510022;61;7;2;0,32
;530001;55;7;2;5
;530002;55;7;2;6
;530003;55;7;2;5
;530004;55;7;2;1
;530005;55;7;2;4
;530006;55;7;2;20
;530007;55;7;2;4
;540001;49;7;2;28
;540002;49;7;2;5
;540003;49;7;2;10
;540004;49;7;2;10
;540005;49;7;2;18
;540006;49;7;2;7
;540007;49;7;2;15
;540008;49;7;2;3
;540009;49;7;2;49
;540010;49;7;2;31
;540011;49;7;2;70
;540012;49;7;2;13
;540013;49;7;2;5
;540014;49;7;2;9
;540015;49;7;2;19
;540016;49;7;2;12
;540017;49;7;2;3
;550001;51;7;2;8
;550002;51;7;2;2
;550003;51;7;2;6
;550004;51;7;2;8
;550007;51;7;2;-
;550008;51;7;2;2
;550012;51;7;2;15
;550014;51;7;2;5
;550015;51;7;2;3
;550016;51;7;2;5
;550017;51;7;2;6
;550018;51;7;2;5
;550019;51;7;2;1
;550021;51;7;2;11
;550023;51;7;2;15
;550024;51;7;2;-
;550025;51;7;2;55
;550027;51;7;2;1
;550029;51;7;2;4
;550051;51;7;2;1
;550061;51;7;2;9
;550071;51;7;2;2
;561002;52;7;2;128
;561003;52;7;2;30
;561004;52;7;2;28
;561005;52;7;2;50
;561006;52;7;2;32
;561007;52;7;2;35
;561008;53;7;2;4
;561011;52;7;2;18
;561012;53;7;2;9
;561015;52;7;2;16
;561016;53;7;2;11
;561017;53;7;2;2
;561020;53;7;2;5
;561021;52;7;2;37
;561022;52;7;2;10
;561023;52;7;2;7
;561024;53;7;2;13
;561025;53;7;2;25
;561028;53;7;2;42
;561032;53;7;2;5
;561033;53;7;2;1
;561035;53;7;2;-
;561038;53;7;2;11
;561040;53;7;2;17
;563001;52;7;2;8
;563002;52;7;2;-
;573001;54;7;2;61
;573004;54;7;2;4
;573005;54;7;2;3
;573006;54;7;2;6
;573007;54;7;2;6
;573008;54;7;2;2
;573009;54;7;2;9
;573010;54;7;2;5
;573013;54;7;2;5
;573014;54;7;2;1
;573015;54;7;2;4
;573018;54;7;2;5
;573019;54;7;2;-
;573022;54;7;2;1
;573023;54;7;2;3
;573024;54;7;2;2
;573026;54;7;2;3
;573027;54;7;2;3
;573028;54;7;2;5
;573030;54;7;2;14
;573031;54;7;2;4
;573032;54;7;2;5
;573033;54;7;2;4
;575001;55;7;2;11
;575002;55;7;2;2
;575003;55;7;2;14
;575004;55;7;2;-
;575005;55;7;2;11
;575006;55;7;2;3
;575007;55;7;2;11
;575008;55;7;2;6
;575009;55;7;2;11
;575010;55;7;2;-
;575011;55;7;2;3
;575012;55;7;2;1
;575013;55;7;2;2
;575014;55;7;2;31
;575015;55;7;2;3
;575016;55;7;2;3
;575017;55;7;2;2
;575018;55;7;2;3
;575019;55;7;2;12
;580001;50;7;2;5
;580002;50;7;2;3
;580003;50;7;2;18
;580004;50;7;2;5
;580005;50;7;2;17
;580006;50;7;2;4
;580007;50;7;2;9
;580008;50;7;2;6
;580009;50;7;2;8
;580010;50;7;2;5
;580011;50;7;2;16
;580012;50;7;2;23
;580013;50;7;2;10
;580014;50;7;2;15
;580015;50;7;2;15
;580016;50;7;2;68
;580017;50;7;2;8
;580018;50;7;2;22
;607001;58;7;2;71
;607002;58;7;2;1
;607003;58;7;2;11
;607004;58;7;2;4
;607005;58;7;2;7
;607006;58;7;2;59
;607007;58;7;2;4
;607008;58;7;2;39
;615001;71;8;3;18
;615002;71;8;3;30
;615003;71;8;3;55
;615004;71;8;3;-
;615005;71;8;3;16
;615006;71;8;3;21
;615007;71;8;3;15
;615008;71;8;3;4
;615009;71;8;3;6
;615010;71;8;3;11
;615011;71;8;3;6
;615012;71;8;3;6
;615013;71;8;3;13
;615014;71;8;3;5
;615015;71;8;3;3
;615016;71;8;3;7
;615017;71;8;3;8
;615018;71;8;3;11
;615019;71;8;3;8
;615020;71;8;3;-
;615021;71;8;3;26
;615022;71;8;3;6
;621001;59;7;2;46
;621002;59;7;2;59
;621003;59;7;2;31
;621004;59;7;2;9
;621005;59;7;2;17
;621006;59;7;2;5
;621007;59;7;2;15
;621008;60;7;2;39
;621009;60;7;2;35
;621010;60;7;2;14
;621011;60;7;2;9
;621012;60;7;2;10
;621013;60;7;2;7
;621014;60;7;2;27
;621015;60;7;2;25
;630001;57;7;2;12
;630002;57;7;2;15
;630003;57;7;2;-
;630004;57;7;2;6
;630005;57;7;2;1
;630006;57;7;2;13
;630007;57;7;2;3
;630008;57;7;2;6
;630009;57;7;2;111
;630010;57;7;2;1
;630011;57;7;2;11
;630012;57;7;2;9
;630013;57;7;2;20
;630014;57;7;2;8
;630015;57;7;2;20
;630016;56;7;2;2
;630017;56;7;2;11
;630018;56;7;2;4
;630019;56;7;2;-
;630020;56;7;2;2
;630021;56;7;2;2
;630022;56;7;2;1
;630023;56;7;2;4
;630024;56;7;2;12
;630025;56;7;2;5
;630026;56;7;2;2
;630027;56;7;2;8
;630028;56;7;2;1
;630029;56;7;2;4
;630030;56;7;2;38
;630031;56;7;2;1
;630032;56;7;2;15
;630033;56;7;2;6
;630034;56;7;2;7
;657001;80;9;3;88
;657002;80;9;3;3
;657005;80;9;3;9
;657006;80;9;3;6
;657007;80;9;3;4
;657008;80;9;3;13
;657009;80;9;3;3
;657011;80;9;3;1
;657013;81;9;3;8
;657014;81;9;3;5
;657015;81;9;3;6
;657016;81;9;3;2
;657017;81;9;3;25
;657018;81;9;3;1
;657019;81;9;3;5
;657020;81;9;3;1
;657021;81;9;3;1
;657022;81;9;3;1
;657023;81;9;3;9
;657024;81;9;3;12
;657025;81;9;3;1
;657026;81;9;3;11
;657027;81;9;3;8
;657028;81;9;3;-
;657029;81;9;3;-
;657030;81;9;3;3
;661001;82;9;3;50
;661002;82;9;3;2
;661003;82;9;3;4
;661004;82;9;3;5
;661005;82;9;3;30
;661006;82;9;3;11
;661007;82;9;3;2
;661008;82;9;3;11
;661009;82;9;3;5
;661010;82;9;3;-
;665001;73;9;3;11
;665002;73;9;3;4
;665003;73;9;3;3
;665004;73;9;3;1
;665005;73;9;3;2
;665006;73;9;3;5
;665007;73;9;3;1
;665008;73;9;3;2
;671001;73;9;3;25
;671002;73;9;3;1
;671003;73;9;3;2
;671004;73;9;3;4
;671005;73;9;3;5
;671006;73;9;3;4
;671007;73;9;3;4
;706001;66;8;3;12
;706002;66;8;3;5
;706003;66;8;3;5
;706004;66;8;3;9
;706005;66;8;3;9
;706006;66;8;3;16
;706007;66;8;3;11
;706008;66;8;3;14
;707001;66;8;3;31
;707002;66;8;3;-
;707003;66;8;3;11
;707004;66;8;3;18
;707005;66;8;3;15
;707006;66;8;3;8
;707007;66;8;3;6
;707008;66;8;3;6
;707009;66;8;3;8
;707010;66;8;3;1
;710001;69;8;3;20
;710002;69;8;3;3
;710003;69;8;3;5
;710004;69;8;3;13
;710005;69;8;3;3
;710006;69;8;3;6
;710007;69;8;3;14
;710008;69;8;3;1
;710009;69;8;3;6
;710010;69;8;3;6
;710011;69;8;3;4
;710012;69;8;3;6
;710013;69;8;3;4
;710014;69;8;3;7
;727001;70;8;3;26
;727002;70;8;3;1
;727003;70;8;3;2
;727004;70;8;3;3
;727005;70;8;3;6
;727006;70;8;3;2
;727007;70;8;3;2
;727008;70;8;3;1
;727009;70;8;3;-
;727010;70;8;3;-
;730001;68;8;3;3
;730002;68;8;3;3
;730004;68;8;3;1
;730005;67;8;3;10
;730006;67;8;3;7
;730007;67;8;3;4
;730008;67;8;3;5
;730009;67;8;3;1
;730010;67;8;3;1
;730011;67;8;3;4,95
;730012;67;8;3;11
;730013;67;8;3;7
;730014;67;8;3;2
;730015;67;8;3;1
;730016;68;8;3;4
;730017;68;8;3;3
;730021;68;8;3;4
;730024;68;8;3;30,05
;730025;68;8;3;17
;730026;67;8;3;23
;730027;67;8;3;31
;730028;68;8;3;34
;730029;67;8;3;17
;730030;67;8;3;21
;730031;68;8;3;13
;730032;68;8;3;12
;730033;68;8;3;1
;730034;68;8;3;6
;730036;68;8;3;8
;730037;68;8;3;5
;740001;77;9;3;3
;740002;77;9;3;4
;740003;77;9;3;3
;740004;77;9;3;9
;740005;77;9;3;1
;740006;77;9;3;7
;740007;77;9;3;11
;740008;77;9;3;1
;740009;77;9;3;-
;740010;77;9;3;3
;740011;77;9;3;5
;740012;77;9;3;2
;740013;77;9;3;3
;740014;77;9;3;2
;740015;77;9;3;2
;740016;77;9;3;4
;740017;77;9;3;3
;740018;77;9;3;4
;740021;78;9;3;5
;740022;78;9;3;1
;740023;78;9;3;1
;740024;78;9;3;1
;740025;78;9;3;3
;740026;78;9;3;7
;740027;78;9;3;4
;740028;78;9;3;25
;740029;78;9;3;30
;740030;78;9;3;12
;740031;78;9;3;24
;740032;78;9;3;6
;741001;70;8;3;3
;741002;70;8;3;1
;746001;70;8;3;4
;746002;70;8;3;10
;746003;70;8;3;-
;746004;70;8;3;13
;746005;70;8;3;7
;746006;70;8;3;23
;746007;70;8;3;20
;746008;70;8;3;8
;746009;70;8;3;10
;746010;70;8;3;3
;746011;70;8;3;4
;746012;70;8;3;2
;751001;62;8;3;20
;751002;62;8;3;30
;751003;62;8;3;14
;751004;62;8;3;14
;751006;62;8;3;33
;751007;62;8;3;9
;751008;63;8;3;53
;751009;62;8;3;3
;751010;65;8;3;25,35
;751011;62;8;3;15
;751012;62;8;3;9
;751013;62;8;3;8
;751014;62;8;3;6,54
;751016;63;8;3;4
;751018;63;8;3;15
;751019;63;8;3;14
;751020;65;8;3;55,85
;751021;65;8;3;127,26
;751022;64;8;3;7
;751023;64;8;3;46
;751024;64;8;3;21
;751025;63;8;3;117
;751026;63;8;3;21
;751027;63;8;3;20
;751028;63;8;3;48
;751030;63;8;3;11
;751031;63;8;3;3
;751033;63;8;3;21
;751041;65;8;3;9
;751042;64;8;3;38
;751043;64;8;3;24
;751044;64;8;3;12
;751045;64;8;3;4
;751047;65;8;3;14
;751048;65;8;3;4
;751049;65;8;3;5
;751050;65;8;3;6
;751051;65;8;3;12
;751053;64;8;3;6
;751055;64;8;3;1
;751056;64;8;3;8
;751061;65;8;3;32
;751062;63;8;3;29
;751063;63;8;3;75
;751064;63;8;3;20
;751065;65;8;3;18
;751066;62;8;3;14
;751067;64;8;3;20
;751068;64;8;3;17
;756001;79;9;3;6
;756002;79;9;3;4
;756003;79;9;3;11
;756004;79;9;3;3
;756005;79;9;3;15
;756006;79;9;3;-
;756007;79;9;3;54
;756008;79;9;3;3
;756009;79;9;3;5
;756010;79;9;3;2
;760001;83;9;3;11,44
;760002;83;9;3;-
;760004;83;9;3;1,16
;760007;83;9;3;4,39
;760010;83;9;3;5
;760012;83;9;3;-
;760014;83;9;3;12
;760016;83;9;3;7
;760021;83;9;3;-
;760022;83;9;3;2
;760024;83;9;3;12
;760025;83;9;3;-
;760027;83;9;3;7
;760028;83;9;3;2
;760030;83;9;3;9
;760032;83;9;3;7
;760033;83;9;3;3
;760035;83;9;3;6
;766001;72;8;3;13
;766002;72;8;3;11
;766003;72;8;3;2
;766004;72;8;3;5
;766005;72;8;3;3
;766006;72;8;3;4
;766007;72;8;3;7
;766010;72;8;3;5
;766011;72;8;3;1
;766012;72;8;3;5
;766013;72;8;3;2
;766014;72;8;3;6
;766015;72;8;3;4
;766017;72;8;3;7
;766020;72;8;3;2
;766021;72;8;3;10
;766022;72;8;3;2
;766023;72;8;3;4
;766024;72;8;3;6
;773001;87;10;3;-
;773002;87;10;3;2,70
;773003;87;10;3;4
;773004;87;10;3;5
;773005;87;10;3;27,30
;779020;74;9;3;2
;779021;74;9;3;72
;779022;74;9;3;6
;779023;74;9;3;3
;779024;74;9;3;7
;779025;74;9;3;4
;779026;74;9;3;8
;779027;74;9;3;2
;787001;87;10;3;41,91
;787002;87;10;3;5,62
;787003;87;10;3;11,06
;787004;87;10;3;3,93
;787005;87;10;3;4,64
;787006;87;10;3;1
;787007;87;10;3;1,92
;787008;87;10;3;1,90
;787009;87;10;3;2,03
;787010;87;10;3;6
;787011;87;10;3;0,74
;787012;87;10;3;3,12
;787013;87;10;3;2,12
;787014;87;10;3;-
;787015;87;10;3;2
;791001;75;9;3;8
;791002;75;9;3;5
;791003;75;9;3;7
